T:P_CT_WD:P_CT_PV:P_c_Cbu:P_c_CEV:P_c_CPl:P_ess_BAT:P_ess_SC:P_ess_HP:P2rk:P_csp:P_tsp:P_ess_PCM:P_c_Ctbu_1:P_c_Ctbu_2:P_c_Ctbu_3:P_c_Ctbu_4:P_c_Ctbu_5:P_c_Ctbu_6:P_c_Ctbu_7:P_c_Ctbu_8:P_c_Ctbu_9:P_c_Ctbu_10:P_c_Ctbu_11:P_c_Ctbu_12:SOC_BAT:SOC_SC:SOC_HP:SOC_PCM:Pe_grid:Pt_grid:EP_con:EP_gen
0:0:0:-324434,162808908:-0:-0:77965,8830216847:0:246468,279787223:0:-1276:100000:-47798,635253385:-62749,9999749:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,5:0,5:0,5:0,509775551680683:1,74622982740402e-10:-11824,635228285:0,403443368833:0,17571
3600:0:0:-328930,413299268:-0:-0:82462,1335120453:0:246468,279787223:0:-1688,61:100000:-46973,415253385:-62749,9999749:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,488169014675376:0,5:0,397955065556379:0,519382333254957:2,3283064365387e-10:-11412,025228285:0,412747682719:0,16955
7200:0:0:-329548,146823544:-0:-0:83079,8670363207:0:246468,279787223:0:-1766,03:100000:-46818,575253385:-62749,9999749:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,478884205760664:0,5:0,295910131112759:0,528957447681953:2,03726813197136e-10:-11334,605228285:0,424170176948:0,1646
10800:0:0:-317002,600799268:-0:-0:70534,3210120453:0:246468,279787223:0:-1528,39:100000:-47293,855253385:-62749,9999749:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,46951318000263:0,5:0,193865196669138:0,538629764135287:2,3283064365387e-10:-11572,245228285:0,430666373708:0,165
14400:0:0:-313868,771823544:-0:-0:67400,4920363207:0:246468,279787223:0:-1349,65:100000:-47651,335253385:-62749,9999749:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,461547749584397:0,5:0,0918202622255178:0,548375190713968:2,3283064365387e-10:-11750,985228285:0,433395878879:0,16964
18000:0:0:-405064,911690245:-0:-0:158596,631903022:0:-0:0:-1276,32:100000:-21455,0200467735:-62749,9999749:-0:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:-2634,29751960744:0,453926936051988:0,5:0:0,552763070329474:-246468,279787223:-11824,3152177479:0,415932793036:0,17466
21600:12,5:575:-453274,131673474:-0:-0:206218,351886251:0:-0:0:-1203,08:159111,599709863:497638,86990838:-188333,333258:-367314,061268283:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:0,435976333714167:0,5:0:0,450988313261245:-246468,279787223:47214,0446998115:0,402805814564:0,17787
25200:0:29143,75:-560853,220108609:-0:-0:285241,190321386:0:-0:0:367,33:130650,459108818:918943,64219488:-533749,9997865:-367314,061268283:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:-13171,4875980372:0,412615269827839:0,5:0:0,263050289125398:-246468,279787223:17182,4942685438:0,407222785555:0,17871
28800:6,25:165525:-607189,665990369:-0:-222768,75:195190,136203146:0:-0:0:7251,42:207051,27676761:920313,203241713:-627916,6664155:-367314,061268283:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:-5268,59503921488:0,380229122976693:0,5:0:0,214862762356748:-469237,029787223:86699,2219333914:0,369208076536:0,16967
32400:5018,75:723375:-613097,801387267:-0:-10259,5833333333:-0:0:-115295,948612733:0:47326:216759,944610211:649982,91376513:-477249,9998091:-367314,061268283:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:0,35800234450409:0,5:0:0,186213377727982:-10259,5833333336:56333,3096999213:0,399783797176:0,16512
36000:5781,25:1244425:-628466,260184986:-0:-424024,583333333:-206847,788242158:0:-312500:0:56691,8:232124,12011012:517579,826161823:-376749,9998493:-367314,061268283:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,35800234450409:0,5:0,0291242361357996:0,1633999418641:-321632,381760477:62331,6851543603:0,398483429178:0,16702
39600:8537,5:1646625:-642775,224848595:-0:-42804,1666666667:-206847,788242158:0:-312500:-0:619040:291959,001664991:-587204,865452135:-364166,666521:-399809,10297466:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,381732462418034:0,5:0,0837889591678695:0,189282249983203:450235,320242581:-440181,633282804:0,407257320376:0,1774
43200:7862,5:1913281,25:-625105,036554507:-0:-63859,5833333333:-206847,788242158:0:-312500:-0:676132:286242,293236181:-746383,90717151:-351666,666526:-367314,061268283:-0:-0:-0:-0:-0:-0:-0:-0:-0:-0:0,405468452349599:0,5:0,138453682199939:0,222180714211148:712831,341870002:-502990,341729612:0,40330851786:0,1774
46800:4193,75:2052331,25:-635334,855679171:-0:-357930,833333333:-206847,788242158:0:-312500:-0,0327630165450044:699017,032763017:296665,89736404:-791565,740426822:-339083,3331977:-367314,061268283:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:0,429131131258861:0,5:0,193118405232009:0,384068010013231:543911,510274554:-515451,692363786:0,341678614917:0,16798
50400:4043,75:2075393,75:-583954,055367322:-30018,75:-1248082,91666667:-206847,788242158:0:-312500:-0:361172:221197,000544007:-141042,419568204:-313916,6665411:-367314,061268283:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:-1317,14875980372:0,452720913276618:0,5:0,247783128264079:0,412913341147657:-301966,010276147:-253075,634431617:0,333014467984:0,1624
