T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.7253,0,0,0,0,168750,0,0,0,0,-62750,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.484874999,-801735.7253,-7.28E-12,0.254685102,0.19521
3600,0,0,-395127.2883,0,0,-3400000,0,337520,0,0,0,0,-62750,0,0,0,0,0,0,0,0,0,0,0,0.581704989,0.5,0.5,0.469749998,-790254.5766,-7.28E-12,0.235038489,0.17445
7200,0,0,-386838.7718,0,0,0,0,337500,0,0,0,0,-62750,0,0,0,0,0,0,0,0,0,0,0,0.640186646,0.5,0.388315766,0.454624996,-773677.5436,-7.28E-12,0.209223753,0.14961
10800,0,0,-400327.6008,0,0,0,0,337500,0,0,0,0,-62750,0,0,0,0,0,0,0,0,0,0,0,0.751191167,0.5,0.164947298,0.439499995,-800655.2016,-7.28E-12,0.200678984,0.14057
14400,0,0,-398289.0843,0,0,0,0,0,0,0,0,0,-62750,0,0,0,0,0,0,0,0,0,0,0,0.862848156,0.5,0.040853704,0.424374994,-796578.1686,-7.28E-12,0.201976216,0.14056
18000,0,0,-485746.1617,0,0,0,0,0,0,0,0,0,-62750,0,-2634.297521,-2634.297521,-2634.297521,-2634.297521,-2634.297521,-2634.297521,-2634.297521,-2634.297521,-2634.297521,-2634.297521,0.946491965,0.5,0.026368843,0.402900391,-933763.4164,3.38840709446231e-06,0.207583942,0.14516
21600,0,0,-487656.9442,0,0,0,0,0,0,0,0,-187900,-188333.3333,-367314.0614,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,0.946223477,0.5,0.140071467,0.25627023,-937656.9442,3.82351008738624e-05,0.222909454,0.15946
25200,0,1112.5,-515761.0326,0,0,0,0,-337500,0,0,0,-81800,-533750,-367314.0614,-13171.4876,-13171.4876,-13171.4876,-13171.4876,-13171.4876,-13171.4876,-13171.4876,-13171.4876,-13171.4876,-13171.4876,0.946223477,0.5,0.253774091,0.200315439,-964648.5326,-0.000448266,0.23400607,0.17157
28800,0,287081.25,-559945.916,0,0,142600,0,-337500,0,0,0,-78020,-627916.6667,-367314.0614,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,-5268.595041,0.946223477,0.5,0.34964265,0,-545785.332,-1047916.678,0.204594962,0.14926
32400,0,1049418.75,-571927.4889,0,0,815681.3,0,-212625,0,0,0,-125565,-477250,-367314.0614,-1317.14876,-1317.14876,-1317.14876,-1317.14876,-1317.14876,-1317.14876,-1317.14876,-1317.14876,-1317.14876,-1317.14876,0.946223477,0.5,0.384122423,0,954982.5222,-857735.549,0.190178791,0.14056
