T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,0,0,0,-391730,-1916.11,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.478824998312749,-250712.925308908,-293646.11,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,-392127,0,0,0,-1745.93,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.457649996625497,-787254.288299268,98254.07,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,-768638.7718,0,373500,0,-1504.68,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.554694234840749,0.5,0.422680145600083,0.436474994938246,-781977.543623544,98495.32,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,-563200,0,376300,-200000,-1389.39,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.661964715794469,0.5,0.267460796660169,0.415299993250995,-515227.600799268,-101389.39,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,-778789.0843,0,370700,0,-1330.01,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.73993878577086,0.5,0.112821087860334,0.394124991563744,-806378.168623544,98669.99,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,-17245.14385,0,-500,-387000,-1261.3,100000,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.845357264955402,0.5,0.0361843807683683,0.364060546935951,-364171.305540245,-288261.299996611,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,0,0,0,-487660,-25186.1,100000,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.84764390212837,0.5,0.036228112546794,0.232954837303515,-312099.344173474,-412846.099961764,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,0,0,-514648.5326,0,-49335.7,100000,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.84764390212837,0.5,0.0812411037362983,0.157843641885333,-1029297.06520861,50664.2995517344,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,0,0,-272920.666,0,-48084.2,273506.969057549,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.84764390212837,0.5,0.150124707112392,0,-545785.331990369,-822493.909437549,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,477491.2611,0,0.198598977,0,3928.43,188649.317518669,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.84764390212837,0.5,0.173995301928808,0,954982.72081171,-665157.801499846,0.190178791,0.14056
