T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,-208000,0,0,-391735.7253,-1916.11,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.484874998794821,-458710.864200908,-293651.8353,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,-395127.2883,0,0,0,-1745.93,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.541450335893943,0.5,0.5,0.469749997589641,-790254.576599268,98254.07,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,-760338.7718,0,373500,0,-1504.68,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.599907892330486,0.5,0.422680145600083,0.454624996384462,-773677.543623544,98495.32,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,-773827.6008,0,373500,0,-1389.39,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.711712120263028,0.5,0.268040436800248,0.439499995179282,-800655.201599268,98610.61,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,-382706.3391,0,373500,-389090,-1330.01,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.824347027055711,0.5,0.113400728000414,0.424374993974103,-267423.023423544,-290420.01,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,0,0,-485746.1617,0,-1261.3,100000,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.878597920829341,0.5,0.103372747249625,0.402900390668537,-971492.323390245,98738.7000033884,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,0,0,-487656.9442,0,-25186.1,100000,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.878597920829341,0.5,0.188510045141753,0.256270230042229,-975313.888373474,74813.9000382351,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,0,0,-514648.5326,0,-49335.7,100000,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.878597920829341,0.5,0.276175247194231,0.200315439441905,-1029297.06520861,50664.2995517341,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,0,0,-272920.666,0,-48084.2,273506.969057549,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.878597920829341,0.5,0.345058850570325,0,-545785.331990369,-822493.909437549,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,477491.2611,0,0,0,3928.43,188649.317518669,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.878597920829341,0.5,0.368929462756914,0,954982.522212733,-665157.801499846,0.190178791,0.14056
36000,0,1648937.5,-544977.197684986,-0,-0,1103960.302,0,0,0,12700.7,267514.857156987,-0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.814315943268489,0.5,0.368929462756914,0,2207920.60431501,-463848.504258221,0.178113509,0.13582
39600,0,1230287.5,-505042.412348595,-0,-0,725245.0877,0,0,0,52287.9,283332.474736651,-0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.665784886230837,0.5,0.368929462756914,0,1450490.17535141,-428355.395064599,0.171302914,0.13022
43200,0,1358200,-497512.849054507,-0,-0,860687.1509,0,0,0,60700.9,267726.278003989,-0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.566382826339765,0.5,0.368929462756914,0,1721374.30184549,-390553.550077886,0.170354739,0.12872
46800,0,931306.25,-507461.418179171,-0,-0,423844.8318,0,0,0,148898,153425.491666804,-0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.443196372337791,0.5,0.368929462756914,0,847689.663620829,-417245.390685043,0.171294636,0.12993
50400,0,1449737.5,-539057.180367322,-0,-0,910680.3196,0,-0.695537303,0,108168,237746.245528428,-0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.381255387094938,0.5,0.36892952359108,0,1821359.94369538,-348487.970156753,0.170437012,0.1289
54000,0,1487075,-556814.997879199,-0,-0,-8.953478154,0,650000,0,92478.7,160374.561085376,-0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.245647845865249,0.5,0.185128930282702,0,1580251.04864265,-467303.775536444,0.167840183,0.12529
57600,0,1547712.5,-548009.321673009,-0,-0,40,0,650000,0,142138,118930.511366446,-0,-339083.333333333,-399809.103134583,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.245649188819891,0.5,0.0356185766907159,0,1649743.17832699,-504166.900308082,0.174687823,0.12832
61200,0,612237.5,-497718.725844649,-0,-0,114518.7742,0,-0.180447792,0,-3979.18,157247.758032344,-0,-351666.666666667,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.245643063030541,0.5,0,0,229037.367907559,-592055.125256142,0.185012962,0.13632
64800,0,79631.25,-417148.006244706,-0,-0,-499458.7742,0,-337516.7562,0,-3636.21,100000,-0,-370500,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.228105120843448,0.5,0,0,-1174492.28664471,-379508.110826447,0.25895084,0.19972
68400,0,31.25,-465631.278592077,-0,-0,-677600.0286,0,-0.243755294,0,-3366.21,100000,-0,-496083.333333333,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.304580443792016,0.5,0,0,-1143200.30094737,-504821.44415978,0.27743423,0.21782
72000,0,0,-512742.029747249,-0,-0,31600.02859,0,-512742.0297,0,-2405.64,100000,-0,-464666.666666667,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.408740468786896,0.5,0.0337120612556982,0,-993884.030857249,-393415.281873278,0.284528751,0.22479
75600,0,0,-508746.044235439,-0,-0,-508746.0442,0,0.02974725,0,-2027.3,100000,-0,-270000,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.403938231428879,0.5,0.0785583003186209,0,-1017492.05868819,-198370.275206611,0.281952948,0.22303
79200,0,0,-510549.193615759,-0,-0,-510549.1936,0,0,0,-1982.61,100000,-0,-125583.333333333,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.480077754188758,0.5,0.0785582941605137,0,-1021098.38721576,-53908.9185399449,0.270473632,0.21472
82800,0,0,-500701.480599898,-0,-0,-139704.7621,0,-439231,0,-1863.19,100000,-0,-18833.3333333333,-0,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.556598921312676,0.5,0.116974999699872,0,-1079637.2426999,66131.9890633609,0.260452171,0.20463
