FF,FF_base,FF_W,FF_SB,FF_shift,Eff,scenario_name
0.046040491722209725,0.08585251983465839,-0.8070966533952753,-117.61052917507848,-86.47177000771154,1.2284173091942108,scenario_run_01_1
0.5595242951696402,0.5595242951696402,0.6059852266340215,0.0,0.0,0.6999835868290162,scenario_run_01_2
0.5574691852078754,0.5595242951696402,0.7438715840428611,14.149139698262466,-0.36864996600637245,0.7911005583553863,scenario_run_02_1
0.10491466628088847,0.08585251983465839,-0.8074026955544105,-108.98819569793237,18.169191326591953,0.9079053654861817,scenario_run_02_2
0.5124735099820471,0.5595242951696402,0.7972566065323083,12.001811215756398,-9.181115564244749,0.8074070134239016,scenario_run_03_1
0.007965401696101845,0.08585251983465839,-0.691558317823955,-118.79613991806957,-977.8178315435541,0.8343398869582929,scenario_run_03_2
0.5559081917680018,0.5595242951696402,0.46483417873231525,2.0287666777719338,-0.650485719618167,0.8525743500398331,scenario_run_04_1
0.11579742877953414,0.08585251983465839,-0.9795735693823915,-122.5345403182561,25.85973562667582,0.8287696135083256,scenario_run_04_2
0.07996665448618714,0.08585251983465839,-0.964825370561604,-118.70037248542418,-7.360399639437115,1.117529100459279,scenario_run_05_1
0.509482893482765,0.5595242951696402,0.82958573347544,10.099710261305017,-9.821998407993267,0.6722548094469948,scenario_run_05_2
0.5182122115599777,0.5595242951696402,0.8007203271537315,14.827646425081124,-7.972039772142865,0.7836637437491314,scenario_run_06_1
0.08151789508268105,0.08585251983465839,-0.8183807897806532,-128.80538561709406,-5.317390430139128,0.8126663970141095,scenario_run_06_2
