T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,68.75,0,-340412.287808908,-0,-0,0,0,0,0,-2057.49,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.488236110173749,-340343.537808908,97942.51,0.231592829,0.17988
3600,1712.5,0,-331497.600799268,-0,-0,0,0,0,0,-1839.37,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.476472220347499,-329785.100799268,98160.63,0.223095554,0.17125
7200,5662.5,0,-332710.646823544,-0,-0,0,0,373500,0,-1649.3,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.422680145600083,0.464708330521248,46451.8531764565,98350.7,0.225060322,0.17124
10800,67981.25,0,-343604.163299268,-0,-0,0,0,373500,0,-1526.62,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.268040436800248,0.452944440694998,97877.0867007319,98473.38,0.224815036,0.17119
14400,93.75,0,-332612.521823544,-0,-0,40000,0,-332518.7718,0,-1430.64,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.242977530938016,0.441180550868747,-625037.543623544,98569.36,0.225339724,0.17224
18000,3175,0,-414122.724190245,-0,-0,0,0,-406377.2567,0,-1340.19,104425.928520796,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.493705476416509,0.5,0.307604005733935,0.424478081631084,-817324.980890245,103085.738524184,0.255573988,0.2018
21600,12056.25,3200,-421633.506673474,-0,-0,0,0,450000,0,-1039.12,120488.349186462,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.493705476416509,0.5,0.276981153589853,0.310432401143956,43622.7433265259,119449.229224697,0.276872358,0.22415
25200,10175,105025,-482228.220108609,-0,-0,0,0,450000,0,-851.263,101963.98839452,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.493705476416509,0.5,0.0906682514213777,0.223910882528889,82971.7798913911,101112.724946254,0.312872031,0.22926
28800,22181.25,354950,-543275.603490369,-0,-0,0,0,-0,0,-649.475,105630.470978058,1047916.678,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.493705476416509,0.5,0,0.181570814730909,-166144.353490369,104980.99548296,0.29241366,0.22033
32400,194887.5,787793.75,-550136.863887267,-0,-0,432544.3861,0,-103.971503,0,10896.5,276861.884077084,857735.549,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.493705476416509,0.5,0,0.146914832953131,864984.800709733,287758.38405857,0.334894091,0.21663
36000,336000,1516562.5,-580924.072684986,-0,-0,1244255.614,0,0,0,144551,293230.308600254,-0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.425573774244923,0.5,0,0,2515894.04131501,-306282.752814954,0.315912718,0.20214
39600,217981.25,1754400,-591875.224848595,-0,-0,0,0,0,0,114128,153967.95305056,-0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.229723042589512,0.5,0,0,1380506.02515141,-495879.81675069,0.303354928,0.18858
43200,235475,2021168.75,-592297.224054507,-0,-0,0,0,0,0,177706,100000,0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.229723042589512,0.5,0,0,1664346.52594549,-441274.728081875,0.3018044,0.18761
46800,133925,2055762.5,-598775.480679171,-0,-0,0,0,0,0,-5513.53,100000,0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.229723042589512,0.5,0,0,1590912.01932083,-625082.412351848,0.245673167,0.1767
50400,157206.25,2010225,-652621.242867322,-0,-0,0,0,0,0,-2757.12,152362.823725293,0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.229723042589512,0.5,0,0,1514810.00713268,-544796.511959888,0.250877059,0.17739
54000,81712.5,1873050,-610611.872879199,-0,-0,0,0,0,0,-79.1368,105405.140864806,0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.229723042589512,0.5,0,0,1344150.6271208,-614831.032557014,0.249161784,0.17471
