T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,-408000,0,0,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.484874998794821,-799735.725308908,-7.27595761418343e-12,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,0,0,0,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.581306428099657,0.5,0.5,0.469749997589641,-395127.288299268,-7.27595761418343e-12,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,0,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.581306428099657,0.5,0.388315765866786,0.454624996384462,-13338.7718235435,-7.27595761418343e-12,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,0,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.581306428099657,0.5,0.164947297600359,0.439499995179282,-26827.6007992681,-7.27595761418343e-12,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,0,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.581306428099657,0.5,0.0408537041190102,0.424374993974103,-24789.0843235435,-7.27595761418343e-12,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,0,0,-450000,0,-0,0,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.581306428099657,0.5,0.026368843034537,0.402900390668537,-935746.161690245,3.38840709446231e-06,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,-1155466,0,-450000,0,-0,0,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.581306428099657,0.5,0.140071466941242,0.256270230042229,-2093122.94417347,3.82351008738624e-05,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,0,0,-450000,0,-0,0,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.749910444296928,0.5,0.253774090847948,0.200315439441905,-964648.532608609,-0.00044826592784375,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,0,0,-272920.666,0,-0,0,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.749910444296928,0.5,0.349642649903126,0,-545785.331990369,-1047916.6784951,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,477491.2611,0,0,0,0,0,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.749910444296928,0.5,0.384122423061532,0,954982.522212733,-857735.549018515,0.190178791,0.14056
36000,0,1648937.5,-544977.197684986,-0,-0,1103960.302,0,0,0,0,0,-0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.683051901291227,0.5,0.384122423061532,0,2207920.60431501,-744064.061415208,0.178113509,0.13582
39600,0,1230287.5,-505042.412348595,-0,-0,725245.0877,0,0,0,0,0,-0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.528574946861284,0.5,0.384122423061532,0,1450490.17535141,-763975.76980125,0.171302914,0.13022
43200,0,1358200,-497512.849054507,-0,-0,860687.1509,0,0,0,0,0,-0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.425280843450388,0.5,0.384122423061532,0,1721374.30184549,-718980.728081875,0.170354739,0.12872
46800,0,931306.25,-507461.418179171,-0,-0,423844.8318,0,0,0,0,0,-0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.298683023154894,0.5,0.384122423061532,0,847689.663620829,-719568.882351848,0.171294636,0.12993
50400,0,1449737.5,-539057.180367322,-0,-0,-2.633845475,0,378500,0,0,0,-0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.235465185479936,0.5,0.270943085392398,0,1289177.6857872,-694402.215685181,0.170437012,0.1289
54000,0,1487075,-556814.997879199,-0,-0,3,0,378500,0,0,0,-0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.235465585350528,0.5,0.0445844100541311,0,1308763.0021208,-720157.03662182,0.167840183,0.12529
57600,0,1547712.5,-548009.321673009,-0,-0,0,0,0,0,0,0,-0,-339083.333333333,-399809.103134583,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.235465125157847,0.5,0,0,999703.178326991,-765235.411674528,0.174687823,0.12832
61200,0,612237.5,-497718.725844649,-0,-0,0,0,0,0,-0,0,-0,-351666.666666667,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.235465125157847,0.5,0,0,114518.774155351,-745323.703288486,0.185012962,0.13632
64800,0,79631.25,-417148.006244706,-0,-0,-55963,0,-0,0,-0,0,-0,-370500,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.235465125157847,0.5,0,0,-393479.756244706,-475871.900826447,0.25895084,0.19972
68400,0,31.25,-465631.278592077,-0,-0,-465600.0286,0,0,0,-0,0,-0,-496083.333333333,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.244049712884794,0.5,0,0,-931200.057192078,-601455.23415978,0.27743423,0.21782
72000,0,0,-512742.029747249,-0,-0,-512742.0297,0,0,0,-0,0,-0,-464666.666666667,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.315478130506218,0.5,0,0,-1025484.05944725,-491009.641873278,0.284528751,0.22479
75600,0,0,-508746.044235439,-0,-0,-508746.0442,0,0,0,-0,0,-0,-270000,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.39408060578176,0.5,0,0,-1017492.08843544,-296342.975206611,0.281952948,0.22303
