T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,-208000,0,0,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.484874998794821,-599735.725308908,-7.27595761418343e-12,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,-395127.2883,0,0,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.541450335893943,0.5,0.5,0.469749997589641,-790254.576599268,-7.27595761418343e-12,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,-760338.7718,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.599907892330486,0.5,0.388315765866786,0.454624996384462,-773677.543623544,-7.27595761418343e-12,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,-763827.6008,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.711712120263028,0.5,0.164947297600359,0.439499995179282,-790655.201599268,-7.27595761418343e-12,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,-391735.3391,0,-398289.0843,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.822891471494289,0.5,0.13941343742745,0.424374993974103,-1188313.50772354,-7.27595761418343e-12,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,0,0,-450000,0,-0,0,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.878421486746974,0.5,0.249540213129426,0.402900390668537,-935746.161690245,3.38840709446231e-06,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,0,0,-450000,0,-0,0,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.878421486746974,0.5,0.363242837036132,0.256270230042229,-937656.944173474,3.82351008738624e-05,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,-514648.5326,0,-0.009812737,0,-0,0,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.878421486746974,0.5,0.422737170824157,0.200315439441905,-1029297.07502135,-0.00044826592784375,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,10.03260861,0,-272920.666,0,-0,0,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.945478916473325,0.5,0.457216945222268,0,-545775.299381759,-1047916.6784951,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,0,0,450000,0,0,0,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.945477564894134,0.5,0.375099809031293,0,927491.261112733,-857735.549018515,0.190178791,0.14056
36000,0,1648937.5,-544977.197684986,-0,-0,1103960.302,0,11.60487764,0,0,0,-0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.945477564894134,0.5,0.235970100513397,0,2207932.20919265,-744064.061415208,0.178113509,0.13582
39600,0,1230287.5,-505042.412348595,-0,-0,569245.0877,0,156550,0,0,0,-0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.799979439260572,0.5,0.189154938705028,0,1451040.17535141,-763975.76980125,0.171302914,0.13022
43200,0,1358200,-497512.849054507,-0,-0,860687.1509,0,0,0,0,0,0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.725054337327393,0.5,0.142343246995377,0,1721374.30184549,-718980.728081875,0.170354739,0.12872
46800,0,931306.25,-507461.418179171,-0,-0,423844.8318,0,0,0,0,0,0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.606476139830658,0.5,0.142343246995377,0,847689.663620829,-719568.882351848,0.171294636,0.12993
50400,0,1449737.5,-539057.180367322,-0,-0,910680.3196,0,0,0,0,0,0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.546761680577035,0.5,0.142343246995377,0,1821360.63923268,-694402.215685181,0.170437012,0.1289
54000,0,1487075,-556814.997879199,-0,-0,338.8076346,0,450000,0,0,0,0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.414617332598349,0.5,0.0526370348401851,0,1380598.8097554,-720157.03662182,0.167840183,0.12529
57600,0,1547712.5,-548009.321673009,-0,-0,341403.1783,0,-0,0,0,0,0,-339083.333333333,-399809.103134583,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.414567649800138,0.5,0,0,1341106.35662699,-765235.411674528,0.174687823,0.12832
61200,0,612237.5,-497718.725844649,-0,-0,114518.7742,0,0,0,-0,0,-0,-351666.666666667,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.363509234713957,0.5,0,0,229037.548355351,-745323.703288486,0.185012962,0.13632
64800,0,79631.25,-417148.006244706,-0,-0,289.0475177,0,-337516.7562,0,-0,0,-0,-370500,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.34639135133614,0.5,0,0,-674744.464927006,-475871.900826447,0.25895084,0.19972
68400,0,31.25,-465631.278592077,-0,-0,0,0,-450000,0,-0,0,-0,-496083.333333333,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.346347842530427,0.5,0.0173279733383535,0,-915600.028592078,-601455.23415978,0.27743423,0.21782
72000,0,0,-512742.029747249,-0,-0,8700,0,-450000,0,-0,0,-0,-464666.666666667,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.346347842530427,0.5,0.131030597245059,0,-954042.029747249,-491009.641873278,0.284528751,0.22479
75600,0,0,-508746.044235439,-0,-0,-508746.0442,0,0,0,-0,0,-0,-270000,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.345034981539529,0.5,0.19292716239785,0,-1017492.08843544,-296342.975206611,0.281952948,0.22303
79200,0,0,-510549.193615759,-0,-0,-510549.1936,0,0,0,-0,0,-0,-125583.333333333,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.421805519414787,0.5,0.19292716239785,0,-1021098.38721576,-151926.308539945,0.270473632,0.21472
82800,0,0,-500701.480599898,-0,-0,-488704.7621,0,0,0,-0,0,-0,-18833.3333333333,-0,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.498926307918012,0.5,0.19292716239785,0,-989406.242699899,-32004.8209366391,0.260452171,0.20463
