T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-324434.162808908,-0,-0,77965.8830216847,0,246468.279787223,0,-1916.11,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,1,1.45519152283669e-10,-64665.11,0.403443369,0.17571
3600,0,0,-328930.413299268,-0,-0,82462.1335120453,0,246468.279787223,0,-1745.93,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.484462922886939,0.5,0.352601761359215,1,2.03726813197136e-10,-64494.93,0.412747683,0.16955
7200,0,0,-329548.146823544,-0,-0,83079.8670363207,0,246468.279787223,0,-1504.68,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.472270081963094,0.5,0.20520352271843,1,2.03726813197136e-10,-64253.68,0.424170177,0.1646
10800,0,0,-317002.600799268,-0,-0,70534.3210120453,0,246468.279787223,0,-1389.39,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.45995806523886,0.5,0.0578052840776445,1,2.03726813197136e-10,-64138.39,0.430666374,0.165
14400,0,0,-313868.771823544,-0,-0,67400.4920363207,0,-0,0,-1330.01,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.4494888585397,0.5,0,1,-246468.279787223,-64079.01,0.433395879,0.16964
18000,0,0,-405064.911690245,-0,-0,158596.631903022,0,-0,0,-1261.3,1,0,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.439468742999924,0.5,0,1,-246468.279787223,-90353.2752066116,0.415932793,0.17466
21600,12.5,575,-453274.131673474,-0,-0,206218.351886251,0,-0,0,-25186.1,1,0,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.415858978887429,0.5,0,1,-246468.279787223,-633518.445161765,0.402805815,0.17787
25200,0,29143.75,-560853.220108609,-0,-0,285241.190321386,0,-0,0,-49335.7,1,0,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.385124507195081,0.5,0,1,-246468.279787223,-1082113.63744827,0.407222786,0.17871
28800,6.25,165525,-607189.665990369,-0,-222768.75,195190.136203146,0,-0,0,-48084.2,1,0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.342485772700055,0.5,0,1,-469237.029787223,-1095999.8784951,0.369208077,0.16967
32400,5018.75,723375,-613097.801387267,-0,-10259.5833333333,-0,0,-115295.948612733,0,3928.43,1,0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.313195178887152,0.5,0,1,-10259.5833333336,-853806.119018515,0.399783797,0.16512
