T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,68.75,0,-340412.287808908,-0,-0,59624.3298599025,0,280719.207949005,0,-1916.11,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,1,-1.16415321826935e-10,-64665.11,0.231592829,0.17988
3600,1712.5,0,-331497.600799268,-0,-0,49065.892850263,0,280719.207949005,0,-1745.93,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.488118036056999,0.5,0.332118287837928,1,-1.74622982740402e-10,-64494.93,0.223095554,0.17125
7200,5662.5,0,-332710.646823544,-0,-0,46328.9388745385,0,280719.207949005,0,-1504.68,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.480862887852975,0.5,0.164236575675856,1,-5.82076609134674e-11,-64253.68,0.225060322,0.17124
10800,67981.25,0,-343604.163299268,-0,-0,0,0,-0,0,-1389.39,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.474000046269645,0.5,0,1,-275622.913299268,-64138.39,0.224815036,0.17119
14400,93.75,0,-332612.521823544,-0,-0,51799.5638745385,0,-0,0,-1330.01,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.474000046269645,0.5,0,1,-280719.207949005,-64079.01,0.225339724,0.17224
18000,3175,0,-414122.724190245,-0,-0,130228.51624124,0,-0,0,-1261.3,1,0,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.466312323882021,0.5,0,1,-280719.207949005,-90353.2752066116,0.255573988,0.2018
21600,12056.25,3200,-421633.506673474,-0,-0,125658.048724469,0,-0,0,-25186.1,1,0,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.446986260695962,0.5,0,1,-280719.207949005,-633518.445161765,0.276872358,0.22415
25200,10175,105025,-482228.220108609,-0,-0,86309.0121596038,0,-0,0,-49335.7,1,0,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.428322242772678,0.5,0,1,-280719.207949005,-1082113.63744827,0.312872031,0.22926
28800,22181.25,354950,-543275.603490369,-0,-407132.5,-0,0,-0,0,-48084.2,1,0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.415470697378761,0.5,0,1,-573276.853490369,-1095999.8784951,0.29241366,0.22033
32400,194887.5,787793.75,-550136.863887267,-0,-222768.75,-113387.448029243,0,-312500,0,3928.43,1,0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.415470697378761,0.5,0.0256976975688939,1,-216111.81191651,-853806.119018515,0.334894091,0.21663
36000,336000,1516562.5,-580924.072684986,-0,-10259.5833333333,-113387.448029243,0,-312500,0,12700.7,1,0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.432426446154,0.5,0.104657853059662,1,835491.395952438,-731362.361415208,0.315912718,0.20214
39600,217981.25,1754400,-591875.224848595,-0,-0,-113387.448029243,0,-312500,0,52287.9,1,0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.449385170325595,0.5,0.183618008550429,1,954618.577122163,-711686.86980125,0.303354928,0.18858
43200,235475,2021168.75,-592297.224054507,-0,-233134.583333333,-113387.448029243,0,-312500,-0,60700.9,1,0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.466306729637072,0.5,0.262578164041197,1,1005324.49458292,-658278.828081875,0.3018044,0.18761
46800,133925,2055762.5,-598775.480679171,-0,-489354.166666667,-113387.448029243,0,-312500,-0,148898,1,0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.483191261483715,0.5,0.341538319531965,1,675670.40462492,-570669.882351848,0.245673167,0.1767
50400,157206.25,2010225,-652621.242867322,-0,-19649.1666666667,-113387.448029243,0,-312500,0,108168,1,0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.500039006592396,0.5,0.420498475022733,1,1069273.39243677,-586233.215685181,0.250877059,0.17739
54000,81712.5,1873050,-610611.872879199,-57018.75,-41210,-113387.448029243,0,-312500,0,92478.7,1,0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.516850204910743,0.5,0.4994586305135,1,820034.429091558,-627677.33662182,0.249161784,0.17471
57600,55593.75,2095193.75,-600421.821673009,-167981.25,-720255.416666667,-113387.448029243,0,-312500,0,142138,1,0,-339083.333333333,-399809.103134583,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.533621110235482,0.5,0.578418786004268,1,236241.563631082,-623096.411674528,0.255213409,0.17994
61200,175175,1809862.5,-550562.475844649,-242300,-1241210,-113387.448029243,0,-312500,0,-3979.18,1,0,-351666.666666667,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.550349259372904,0.5,0.657378941495036,1,-474922.423873892,-749301.883288486,0.299643755,0.17988
64800,332050,1284600,-464054.256244706,-218300,-347335.833333333,-113387.448029243,0,-312500,0,-3636.21,1,0,-370500,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.567034995049853,0.5,0.736339096985803,1,161072.462392718,-479507.110826447,0.335898863,0.21405
68400,145087.5,483493.75,-504621.903592077,-290643.75,-0,0,0,-123959.346407923,0,-3366.21,1,0,-496083.333333333,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.583676602608883,0.5,0.791479733558233,1,-290643.75,-604820.44415978,0.331290593,0.20932
72000,11268.75,148112.5,-526945.154747249,-184675,-0,86844.6967982443,0,280719.207949005,-0,-2405.64,1,0,-464666.666666667,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.583676602608883,0.5,0.735091576636417,1,-184675,-493414.281873278,0.333369068,0.21427
75600,0,12187.5,-501302.294235439,-162368.75,-0,208395.586286434,0,280719.207949005,0,-2027.3,1,0,-270000,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.571010191164332,0.5,0.567209864474345,1,-162368.75,-298369.275206611,0.284675937,0.20944
